2025-11-06 01:58:28.678 [warning] Dir "/home/coder/.pixi/envs" is not watchable (directory does not exist)
2025-11-06 01:58:31.169 [info] Skipping ActivatedEnv Detection:  process.env.VSCODE_CLI !== '1'
2025-11-06 01:58:31.173 [info] Python interpreter path: ./.venv/bin/python
2025-11-06 01:58:31.767 [info] > pyenv which python
2025-11-06 01:58:31.767 [info] cwd: .
2025-11-06 01:58:34.877 [info] Starting Jedi language server for coder.
2025-11-06 01:58:39.023 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 01:59:06.611 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 01:59:11.743 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 01:59:15.413 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 01:59:22.567 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 01:59:33.996 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 01:59:38.714 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 01:59:42.061 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 01:59:48.132 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 01:59:51.605 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 01:59:54.767 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 01:59:56.089 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:00:00.088 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:00:02.021 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:00:08.743 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:00:12.172 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:00:20.619 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:00:23.526 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:00:25.747 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:00:27.086 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:00:35.967 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:00:36.967 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:00:39.716 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:00:41.234 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:01:36.056 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:01:39.875 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:01:47.951 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:01:50.172 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:01:51.667 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:01:54.967 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:02:01.970 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:02:04.670 [info] Send text to terminal: source /home/coder/.venv/bin/activate
2025-11-06 02:02:05.065 [info] CreateEnv Trigger - Skipping for /home/coder/oi.py
2025-11-06 02:02:05.671 [info] Send text to terminal: /home/coder/.venv/bin/python /home/coder/oi.py
2025-11-06 02:09:29.628 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:09:49.539 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:09:54.899 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:09:56.036 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:10:57.290 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:11:10.406 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:11:13.623 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:11:23.693 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:11:26.123 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:11:30.118 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:11:32.016 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:12:34.292 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:12:38.896 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:12:56.339 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:13:11.753 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:13:16.606 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:13:20.100 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:13:33.845 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:13:35.175 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:13:36.782 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:13:38.818 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:13:40.904 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:13:47.280 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:13:52.750 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:14:03.824 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:14:31.568 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:14:48.674 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:14:52.450 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:15:03.045 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
2025-11-06 02:15:07.686 [info] Discover tests for workspace name: coder - uri: /home/coder/oi.py
